IDX,X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
10165,37.9359900,55.6434900,1,60,1,171
10167,37.9806000,55.8575000,1,60,1,222
10169,38.0199100,55.9341400,1,60,1,235
10174,38.0881500,55.9047200,1,60,1,253
10177,38.1158600,55.8137500,1,60,1,80
10178,38.1198000,55.9171000,1,60,1,58
10180,38.2387900,55.6387300,1,90,1,75
10220,37.5583921,55.7892079,1,60,1,307
10232,37.6541000,55.6587500,1,60,1,6
10234,37.6625600,55.6703050,1,60,1,14
10238,37.6547700,55.6604500,1,80,1,204
10240,37.6591900,55.6660700,1,80,1,201
10243,37.4280400,55.8259700,1,60,1,293
10245,37.5275290,55.8020640,1,60,1,300
10247,37.8395100,55.9650000,1,60,1,215
10249,38.1805000,55.8212000,1,60,1,80
10253,38.1077263,55.8130651,1,60,1,260
10259,37.4090717,55.8299617,1,60,1,290
10263,37.8002920,55.8103870,1,60,1,265
10265,37.8127560,55.8108850,1,60,1,257
10267,37.7945737,55.8100310,1,60,1,87
10269,37.8157000,55.8110000,1,60,1,82
10273,37.6925872,55.7235726,1,80,2,121
10275,37.6655900,55.7115300,1,60,1,170
10278,37.7026900,55.7486700,1,60,2,255
10282,37.6933600,55.7370400,1,60,1,285
10284,37.5880559,55.7878630,1,60,1,190
10286,37.4483698,55.8628441,1,60,1,168
10288,37.4485200,55.8627517,1,60,1,349
10290,37.4519425,55.7172812,1,60,1,346
10293,37.5859000,55.7109150,1,60,1,45
10295,37.6656190,55.7123050,1,60,1,350
10297,37.6957400,55.7367300,1,60,1,105
10299,37.5834000,55.6679000,1,60,1,32
10302,37.6346000,55.7889000,1,60,1,180
10306,37.5653700,55.7199800,1,0,1,295
10308,37.6717170,55.5978130,1,60,1,172
10310,37.6791520,55.5844430,1,60,1,151
10312,37.5423970,55.6357760,1,60,1,207
10314,37.4570230,55.6729830,1,60,1,228
10316,37.4988414,55.6725873,1,60,2,47
10318,37.5524700,55.7311200,1,60,1,56
